0	4	0	8	0	0	0	0	12	3	0	0	0	1	0	0	0	11	0	11	9	10	6	0	0	115	545	22	23	20	1	10	0	0	0	4	1	0	0	0	0	0	1	5	0	0	0	0	0	22	0	43	0	0	6	1	3	0	2	1	12	0	1	0	0	0	0	0	0	0	1	12	11	0	11	8	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	17	0
0	0	4	0	0	5	0	0	0	0	8	5	13	0	0	0	0	0	3	0	0	0	0	21	7	20	22	521	123	131	0	0	10	0	9	0	0	0	9	0	3	8	0	0	0	5	0	0	27	0	34	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	27	0	0	0	4	0	0	0	0	0	0	0	5	0	6	1	4	11	3	0	10	10	0	0
1	0	1	0	0	1	7	0	0	0	1	6	1	0	0	0	6	0	6	0	0	0	0	1	23	32	23	123	763	118	0	0	17	0	10	0	0	0	0	3	0	2	0	0	0	0	0	1	22	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	0	0	7	9	0	0	0	12	0	0	0	0	1	0	0	6	0	4	0	0	0	6	0	0	2	0	1
0	0	0	0	8	2	3	0	0	0	2	3	7	0	5	0	3	0	10	0	0	0	0	26	12	42	20	131	118	650	0	0	7	0	0	0	0	0	6	4	0	15	0	0	0	0	0	0	28	0	27	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	6	4	10	0	0	0	6	0	0	10	0	0	0	0	3	0	6	0	3	0	9	0	0	9	0	0
0	8	0	6	0	0	0	8	2	12	0	0	0	3	0	1	0	5	0	10	4	0	0	0	0	5	1	0	0	0	479	162	15	130	39	16	0	0	0	0	0	0	4	9	0	1	0	0	0	7	0	3	0	0	0	0	0	0	0	0	10	5	1	15	0	0	0	0	0	0	0	0	7	0	6	1	1	0	0	3	6	0	13	0	1	0	0	0	3	0	0	0	0
0	0	0	2	0	0	0	5	11	12	0	0	1	6	0	6	0	2	0	0	1	0	2	0	0	4	10	0	0	0	162	617	24	118	28	7	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	5	4	0	0	2	1	1	0	0	6	8	14	0	0	0	14	0	0	0	6	7	34	0	9	0	0	0	0	0	19	0	0	0	0	0	1	1	24	0	0	7	0
0	0	18	0	1	7	4	0	0	0	7	28	4	0	23	0	3	0	4	0	0	0	0	8	12	0	0	10	17	7	15	24	514	33	122	0	0	14	18	0	4	3	0	0	0	0	1	6	12	0	9	0	0	0	0	1	1	1	0	0	0	1	0	0	3	3	0	0	8	3	0	0	0	17	0	0	3	0	5	0	0	8	0	3	4	0	0	9	0	8	8	0	4
0	0	0	9	0	0	0	0	13	8	0	0	0	1	0	1	0	5	0	6	3	6	7	0	0	7	0	0	0	0	130	118	33	575	21	0	0	0	0	0	0	0	5	12	0	0	0	0	0	12	0	0	0	0	3	3	0	4	0	1	2	4	0	0	0	0	0	0	0	0	1	1	8	0	9	0	0	0	0	0	5	0	5	0	0	0	0	0	8	0	0	4	0
1	0	8	0	0	3	4	0	0	0	10	34	35	0	1	0	12	0	26	0	0	0	0	14	5	0	0	9	10	0	39	28	122	21	433	0	0	0	6	0	16	4	0	0	0	0	7	6	8	0	17	0	0	13	0	0	0	0	0	1	1	1	1	0	0	6	0	0	10	28	0	0	0	34	0	0	6	0	5	0	0	19	0	1	9	0	6	3	0	7	7	0	1
0	2	0	9	0	0	0	10	13	9	0	0	0	0	0	5	0	15	0	20	5	1	15	0	0	18	4	0	0	0	16	7	0	0	0	612	140	28	26	33	0	0	11	1	0	1	0	0	0	0	0	20	4	0	0	11	16	4	21	6	0	0	2	15	0	0	2	0	1	0	0	5	6	0	9	1	0	0	0	0	0	0	10	0	0	1	0	0	11	0	0	0	0
